,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-16.0,True,1.9483001232147217
1,right,log,-16.0,False,1.23698091506958
2,left,mirror,-32.0,True,1.1674706935882568
3,right,log,16.0,True,1.2704761028289795
4,left,mirror,-8.0,True,0.923326015472412
5,left,log,-8.0,True,0.8462479114532471
6,left,log,-24.0,True,1.7738118171691897
7,left,mirror,0.0,False,0.7270238399505615
8,left,log,-16.0,True,1.033311128616333
9,left,mirror,-24.0,True,0.7442469596862793
10,left,log,0.0,False,0.8217988014221191
11,left,mirror,-24.0,True,0.5110461711883545
12,right,mirror,-8.0,False,0.6699702739715576
13,right,log,40.0,True,0.647648811340332
14,left,log,16.0,False,0.5135800838470459
15,left,mirror,-16.0,True,0.570551872253418
16,right,mirror,24.0,True,0.4945852756500244
17,right,log,24.0,True,0.632908821105957
18,left,mirror,-16.0,True,0.686934232711792
19,right,log,0.0,False,0.445065975189209
20,right,mirror,16.0,True,0.7580599784851074
21,right,log,8.0,True,0.6760132312774658
22,left,log,-8.0,True,0.7069449424743652
23,right,log,0.0,False,0.46196103096008295
24,right,mirror,40.0,True,0.5085361003875732
25,left,mirror,24.0,False,0.56917405128479
26,left,log,-16.0,True,0.7015869617462158
27,right,log,-32.0,False,0.525846004486084
28,left,mirror,-8.0,True,0.6456949710845947
29,left,log,-40.0,True,0.6033859252929688
30,right,mirror,16.0,True,0.5745360851287842
31,right,log,40.0,True,0.4649350643157959
32,left,log,16.0,False,0.5059587955474854
33,left,log,0.0,False,0.715662956237793
34,left,log,-40.0,True,0.6794958114624023
35,left,mirror,-8.0,True,0.7283577919006348
36,right,mirror,16.0,True,0.4585988521575928
37,right,mirror,24.0,True,0.5867257118225098
38,left,mirror,24.0,False,0.5667588710784912
39,left,log,-8.0,True,0.7001469135284424
40,left,mirror,-24.0,True,0.6597869396209717
41,right,mirror,0.0,False,0.4593768119812012
42,right,mirror,32.0,True,0.4659240245819092
43,left,mirror,-32.0,True,0.4915990829467773
44,right,mirror,0.0,False,0.4761168956756592
45,left,mirror,-8.0,True,0.7552659511566162
46,right,mirror,32.0,True,0.5793530941009521
47,left,log,-24.0,True,0.645111083984375
48,right,mirror,40.0,True,0.4774301052093506
49,right,log,0.0,False,1.5553131103515625
50,right,log,16.0,True,0.6171021461486816
51,right,mirror,0.0,False,0.8839707374572754
52,left,log,-40.0,True,0.7489030361175537
53,right,mirror,16.0,True,0.5491359233856201
54,left,mirror,-8.0,True,0.5600330829620361
55,left,log,-32.0,True,0.5018458366394043
56,right,log,-24.0,False,0.5593352317810059
57,right,log,-24.0,False,0.4002799987792969
58,right,log,-32.0,False,0.6082000732421875
59,right,mirror,0.0,False,0.6100401878356934
60,left,mirror,-8.0,True,0.7631649971008301
61,right,mirror,16.0,True,0.5545520782470703
62,left,mirror,-24.0,True,0.5817229747772217
63,right,log,24.0,True,0.5299839973449707
64,left,mirror,-8.0,True,0.6269989013671875
65,right,mirror,0.0,False,0.5025997161865234
66,left,log,-32.0,True,0.7059929370880127
67,right,log,0.0,False,0.5498037338256836
68,left,mirror,-40.0,True,0.6702299118041992
69,right,mirror,32.0,True,0.4650511741638184
70,right,log,16.0,True,0.6952641010284424
71,left,log,8.0,False,0.5895287990570068
72,left,log,0.0,False,0.5241901874542236
73,left,mirror,-40.0,True,0.550159215927124
74,right,log,32.0,True,0.9365999698638916
75,left,log,24.0,False,0.8954582214355469
76,left,log,-40.0,True,1.0004000663757324
77,right,log,32.0,True,0.8757970333099365
78,left,mirror,-16.0,True,0.6780753135681152
79,right,log,16.0,True,1.295585870742798
80,left,log,16.0,False,0.9960658550262452
81,left,log,-8.0,True,0.5688817501068115
82,right,mirror,32.0,True,0.6281378269195557
83,left,mirror,-16.0,True,0.5048520565032959
84,left,log,-16.0,True,0.5624938011169434
85,right,mirror,24.0,True,0.5053801536560059
86,left,log,-8.0,True,0.7198178768157959
87,right,log,16.0,True,0.4110422134399414
88,right,mirror,8.0,True,0.4697740077972412
89,left,mirror,-8.0,True,0.6609890460968018
90,right,log,40.0,True,0.63565993309021
91,left,log,-24.0,True,0.6292102336883545
92,right,log,24.0,True,0.4533629417419434
93,right,mirror,8.0,True,0.46418881416320795
94,left,mirror,0.0,False,0.6433699131011963
95,right,mirror,0.0,False,0.8760240077972412
96,left,mirror,-32.0,True,0.7400879859924316
97,right,mirror,-24.0,False,0.4911279678344727
98,right,mirror,0.0,False,0.6457600593566895
99,right,log,40.0,True,0.5208311080932617
100,right,mirror,40.0,True,0.5387969017028809
101,right,log,16.0,True,0.4196028709411621
102,left,log,-16.0,True,0.7255480289459229
103,right,log,-40.0,False,0.4634690284729004
104,right,mirror,24.0,True,0.5352201461791992
105,left,mirror,24.0,False,0.4726672172546386
106,right,log,24.0,True,0.4934589862823486
107,right,mirror,24.0,True,0.5495049953460693
108,left,log,0.0,False,1.519991159439087
109,left,log,-8.0,True,0.5823149681091309
110,right,log,16.0,True,0.4610910415649414
111,left,log,-32.0,True,0.5268719196319579
112,right,log,8.0,True,0.4172348976135254
113,right,mirror,-8.0,False,1.0011389255523682
114,left,log,-8.0,True,0.8096408843994141
115,right,log,-8.0,False,0.6207599639892578
116,right,log,16.0,True,0.4978930950164795
117,right,mirror,32.0,True,0.5146491527557373
118,left,log,-40.0,True,0.634404182434082
119,left,mirror,-16.0,True,0.5970170497894287
120,right,mirror,8.0,True,0.7309980392456055
121,right,mirror,24.0,True,0.733206033706665
122,left,mirror,-40.0,True,0.5408430099487305
123,right,mirror,-32.0,False,0.4537239074707031
124,right,mirror,-40.0,False,0.9356601238250732
125,right,log,40.0,True,0.565479040145874
126,right,mirror,40.0,True,0.6729991436004639
127,left,mirror,-24.0,True,0.7152101993560791
128,right,mirror,-32.0,False,0.5676860809326172
129,right,mirror,-16.0,False,0.5098712444305421
130,left,log,-32.0,True,0.6053459644317627
131,right,log,40.0,True,0.5292789936065674
132,right,mirror,-32.0,False,1.856405973434448
133,right,mirror,40.0,True,0.7709310054779053
134,left,mirror,24.0,False,1.188688039779663
135,right,log,16.0,True,1.3169920444488523
136,right,mirror,24.0,True,0.9323160648345948
137,left,log,-40.0,True,0.8137290477752686
138,right,mirror,32.0,True,1.5586450099945068
139,left,log,0.0,False,1.0786681175231934
140,right,log,24.0,True,0.7975869178771973
141,left,log,16.0,False,1.665050029754639
142,right,mirror,24.0,True,1.2939767837524414
143,right,mirror,8.0,True,1.1499080657958984
144,left,mirror,24.0,False,2.4517381191253658
145,left,mirror,0.0,False,2.1980028152465816
146,left,log,-8.0,True,7.998852014541626
147,left,mirror,-8.0,True,1.42820405960083
148,right,mirror,-8.0,False,1.1971831321716309
149,left,log,-16.0,True,1.7202272415161133
150,right,log,40.0,True,0.948864221572876
151,left,log,24.0,False,1.3537547588348389
152,left,log,-24.0,True,1.1143388748168943
153,right,log,-8.0,False,1.9575400352478027
154,right,log,0.0,False,0.8140280246734619
155,right,log,24.0,True,0.6790838241577148
156,left,log,-40.0,True,0.7054948806762695
157,right,log,-40.0,False,0.5113940238952637
158,right,mirror,32.0,True,0.6805789470672607
159,left,log,-32.0,True,0.91217303276062
160,right,mirror,40.0,True,0.7556660175323486
161,left,mirror,-16.0,True,0.6424481868743896
162,right,mirror,40.0,True,0.5334470272064209
163,right,log,32.0,True,0.4891228675842285
164,right,mirror,40.0,True,0.5157942771911621
165,left,mirror,40.0,False,0.6784379482269287
166,right,log,8.0,True,0.5607740879058838
167,left,log,-32.0,True,0.6041829586029053
